1248,Home (private),8
1249,Chinese Restaurant,2
1250,Park,5
1251,Mall,6
1252,Campground,5
1253,Mall,6
1254,Monument / Landmark,3
1255,Airport Food Court,7
1256,Bookstore,6
1257,Bridge,5
1258,Ramen / Noodle House,2
1259,Mall,6
1260,Korean Restaurant,2
1261,Grocery Store,6
1262,Casino,0
1263,Other Great Outdoors,5
1264,Discount Stores,6
1265,River,5
1266,Fast Food Restaurant,2
1267,Japanese Restaurant,2
1268,Sandwich Place,2
1269,Home (private),8
1270,Residential Building (Apartment / Condo),8
1271,Chinese Restaurant,2
1272,Boutique,6
1273,Arts & Crafts Store,6
1274,Music Venue,0
1275,Food Court,6
1276,Diner,2
1277,Vietnamese Restaurant,2
1278,Women's Store,6
1279,Japanese Restaurant,2
1280,Bus Station,7
1281,Indian Restaurant,2
1282,Fast Food Restaurant,2
1283,Home (private),8
1284,Food Court,6
1285,Seafood Restaurant,2
1286,Miscellaneous Shop,6
1287,Bowling Alley,0
1288,Korean Restaurant,2
1289,Seafood Restaurant,2
1290,Building,8
1291,Government Building,3
1292,-1,-1
1293,Music Venue,0
1294,Park,5
1295,Grocery Store,6
1296,Subway,7
1297,General Entertainment,0
1298,Cafeteria,2
1299,Casino,0
1300,Neighborhood,5
1301,Airport Food Court,7
1302,College Classroom,1
1303,High School,3
1304,Soup Place,2
1305,Mall,6
1306,Burger Joint,2
1307,Korean Restaurant,2
1308,School,3
1309,Neighborhood,5
1310,Train,7
1311,Italian Restaurant,2
1312,Restaurant,2
1313,Sushi Restaurant,2
1314,Pool,5
1315,Housing Development,8
1316,Grocery Store,6
