X, Y, Int U, U, Ux, Uy, Int V, V, Vx, Vy, Interation, ZNCC, 
108, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.900432, 
118, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.900806, 
128, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.831636, 
138, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.8054, 
148, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.825895, 
158, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.880704, 
168, 138, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.985486, 
178, 138, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.966041, 
188, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.862038, 
198, 138, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.834604, 
208, 138, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.926065, 
218, 138, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.966735, 
228, 138, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.93947, 
18, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.884926, 
28, 148, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.919543, 
38, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.860064, 
48, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.904996, 
58, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.738223, 
68, 148, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.837382, 
78, 148, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.923306, 
88, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.875864, 
98, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.881307, 
108, 148, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.772696, 
118, 148, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.923518, 
128, 148, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.928187, 
